DocTitle,IndexerTime
60569919.xml,109
1731516389.xml,33
323820129.xml,28
418873359.xml,34
1523465209.xml,12
518049399.xml,14
78733239.xml,14
1369156699.xml,14
2082251699.xml,13
1178464579.xml,12
1730069939.xml,11
1619762329.xml,17
1208612319.xml,17
182085859.xml,16
628847789.xml,14
1827794489.xml,17
1775480099.xml,9
1980016899.xml,9
790433159.xml,8
473697999.xml,11
1172485939.xml,29
1449345829.xml,8
1410133819.xml,9
1947928509.xml,12
445962469.xml,8
544722459.xml,10
1523408219.xml,11
947253649.xml,7
1123330749.xml,14
1732166109.xml,29
1847009909.xml,17
1979993159.xml,16
871123359.xml,14
1843149399.xml,13
1277996829.xml,13
313963579.xml,9
587348189.xml,11
969172859.xml,9
1649247589.xml,10
439965459.xml,8
312260159.xml,10
192033159.xml,12
1370233899.xml,9
225413049.xml,11
640458769.xml,11
1410811369.xml,10
1830741269.xml,7
141619279.xml,9
1187723859.xml,9
1289105459.xml,10
2139364939.xml,10
384775309.xml,8
1588257519.xml,8
1648036619.xml,10
1980016939.xml,10
573592159.xml,9
995034149.xml,10
425591979.xml,11
1673743819.xml,9
627650669.xml,9
1361913599.xml,11
1850150939.xml,10
1526938439.xml,9
1980015039.xml,9
20653059.xml,8
1938151119.xml,9
854630089.xml,10
530948849.xml,10
1843220219.xml,10
755501239.xml,12
2092104919.xml,9
1980014079.xml,9
1420561219.xml,11
617182619.xml,10
688877749.xml,11
1993369339.xml,11
1092664529.xml,11
756937479.xml,8
2140195829.xml,22
382386869.xml,7
1560426829.xml,9
2130464739.xml,14
454087709.xml,10
455192039.xml,11
1980046879.xml,9
1115837799.xml,10
518374489.xml,10
1671697229.xml,9
1427470549.xml,9
2017512809.xml,13
1956797299.xml,9
418286739.xml,10
945485429.xml,10
471529939.xml,11
1208602709.xml,10
1524649909.xml,10
1315454509.xml,7
1578200619.xml,15
526991749.xml,12
152547309.xml,11
241577829.xml,11
506036329.xml,9
1561192129.xml,9
1732672269.xml,16
180898639.xml,30
1742736869.xml,18
1188021739.xml,9
787514879.xml,9
743671069.xml,9
1600847819.xml,12
1463835739.xml,9
171373459.xml,10
662524849.xml,23
1838510719.xml,12
1214524169.xml,26
1980052589.xml,8
1801945469.xml,10
1957158799.xml,12
1477968199.xml,9
1473063379.xml,9
1492167159.xml,11
1508785119.xml,10
1918482459.xml,9
1094774919.xml,9
1823298329.xml,10
1275782889.xml,14
1833874339.xml,8
623573029.xml,8
141271409.xml,10
1791501619.xml,10
2026984769.xml,10
1726740849.xml,10
1646308889.xml,8
1997373369.xml,10
961677109.xml,9
623164359.xml,10
243812759.xml,9
538874289.xml,9
1648861759.xml,14
886549059.xml,10
1168045809.xml,15
1873943489.xml,12
54500429.xml,12
471085089.xml,10
1368153509.xml,10
592074379.xml,10
1191487609.xml,10
1328664829.xml,8
2008884259.xml,10
1009976649.xml,11
2074371559.xml,24
1732493699.xml,15
1566406379.xml,9
1719011609.xml,8
