DocTitle,IndexerTime
1707472969.xml,158
921080129.xml,29
821463349.xml,24
787424809.xml,16
1619378569.xml,14
1470415799.xml,14
868947499.xml,12
60569919.xml,18
1049678909.xml,19
1511044109.xml,19
189872659.xml,24
1285552179.xml,16
1353613929.xml,12
1369074969.xml,17
1980015229.xml,15
2142164499.xml,21
58294039.xml,21
1870383149.xml,11
125877719.xml,19
606833539.xml,15
807511209.xml,18
730448029.xml,10
1731516389.xml,33
332213699.xml,22
6999139.xml,15
483529659.xml,18
1312473699.xml,25
2020946699.xml,16
1187664279.xml,14
440659349.xml,24
1805299019.xml,10
323820129.xml,13
1783497569.xml,10
887575979.xml,9
418873359.xml,17
233554579.xml,11
1620624269.xml,21
1900576219.xml,10
2063222779.xml,21
1523465209.xml,12
1590375719.xml,14
404176309.xml,19
1603835449.xml,14
1950029869.xml,21
497842539.xml,9
1130413019.xml,12
2052360309.xml,12
1774186669.xml,10
1340855939.xml,17
501940259.xml,41
217911059.xml,11
518049399.xml,24
1750972359.xml,9
1586361129.xml,10
1261550519.xml,11
1642198949.xml,10
1136121059.xml,9
1821708089.xml,9
1540963999.xml,10
1933369789.xml,12
1797694769.xml,10
533990009.xml,9
1252549099.xml,7
78733239.xml,20
798105229.xml,9
1296138319.xml,17
1369156699.xml,20
613926989.xml,7
706369909.xml,12
956983329.xml,20
1495656949.xml,12
2082251699.xml,10
1607176799.xml,11
1466776819.xml,12
1751049129.xml,11
1078665289.xml,16
862760909.xml,14
159396859.xml,9
1980014269.xml,17
1218271009.xml,18
1178464579.xml,11
1550611359.xml,15
1555832009.xml,9
722759789.xml,10
1485827119.xml,10
1730069939.xml,10
1507492499.xml,7
1619762329.xml,22
1208612319.xml,10
101223769.xml,13
182085859.xml,10
331785969.xml,14
1745276759.xml,8
1152458859.xml,29
1591496889.xml,9
1876695929.xml,15
1066365409.xml,9
1914109389.xml,15
1269188799.xml,11
1001746869.xml,13
1107774859.xml,9
1166756689.xml,16
1832707719.xml,11
628847789.xml,8
558756289.xml,14
905480139.xml,10
1949902739.xml,14
393007069.xml,11
1325494849.xml,16
76280569.xml,13
1827794489.xml,14
2142467549.xml,10
553851299.xml,16
1210019739.xml,10
3627969.xml,11
889327499.xml,10
2112660649.xml,9
2025773989.xml,10
282773699.xml,10
639294319.xml,12
408148279.xml,14
331963189.xml,16
10168289.xml,14
1420153729.xml,14
1709214249.xml,16
1281325299.xml,9
1017281629.xml,10
1411300549.xml,11
1242680489.xml,12
2142429169.xml,8
1775480099.xml,11
1324041629.xml,14
1658821789.xml,15
1702504629.xml,17
675483769.xml,9
12581099.xml,13
850305279.xml,11
823391339.xml,9
1980016899.xml,15
790433159.xml,8
1914107399.xml,9
158226929.xml,9
1599320819.xml,10
3622179.xml,7
27661249.xml,11
232133039.xml,10
18211649.xml,9
1715051789.xml,8
69035179.xml,10
214058399.xml,8
1159231079.xml,9
522708109.xml,10
180128019.xml,10
1231547459.xml,9
138058129.xml,10
473697999.xml,18
336559439.xml,16
26890769.xml,10
